,title,content,text
0,처음 사먹어 보는데 맛있네요,맛이 좋아서 꾸준히 먹고 있습니다.^^,처음 사먹어 보는데 맛있네요맛이 좋아서 꾸준히 먹고 있습니다.^^
1,말해 뭐합니까 ㅋㅋㅋ 역시,"가성비 갑 제품 + 맛도 다양해서 ㅋㅋㅋ 항상 구매하고 있습니다요! 

    스트로베리 크림치즈가 가장 맛있었네요!","말해 뭐합니까 ㅋㅋㅋ 역시가성비 갑 제품 + 맛도 다양해서 ㅋㅋㅋ 항상 구매하고 있습니다요! 

    스트로베리 크림치즈가 가장 맛있었네요!"
2,좋넹요,맛있습니다. 저번에 말차라떼도 먹어봤는데 그것보다 더 나은거 같네요,좋넹요맛있습니다. 저번에 말차라떼도 먹어봤는데 그것보다 더 나은거 같네요
3,매우 만족합니다,"5키로는 정말 엄청크네요.
    평점이 좋아서 스트로베리크림으로 주문했는데 좋습니다. 단 단맛이 조금 강하고 풀림이 좀 덜하네요.(10점 만점에 8점)
    맛은 우유에 섞었을때 딸기 쉐이크 맛보다는 츄파츕스 딸기맛! 딱 그맛 입니다.
    그래도 잘 먹고 있으며 재구매 의사 있습니다. 마프 입문용으로는 딱 인듯 합니다","매우 만족합니다5키로는 정말 엄청크네요.
    평점이 좋아서 스트로베리크림으로 주문했는데 좋습니다. 단 단맛이 조금 강하고 풀림이 좀 덜하네요.(10점 만점에 8점)
    맛은 우유에 섞었을때 딸기 쉐이크 맛보다는 츄파츕스 딸기맛! 딱 그맛 입니다.
    그래도 잘 먹고 있으며 재구매 의사 있습니다. 마프 입문용으로는 딱 인듯 합니다"
4,마싯어요,약간 달긴 하지만 물에 잘 녹고 가루날림이 거의없어 좋아요,마싯어요약간 달긴 하지만 물에 잘 녹고 가루날림이 거의없어 좋아요
5,최애제품,"임팩트웨이프로틴 항상 구매하고 있습니다.
    제품 풀림도 좋고 민트쵸코 맛은 아주 일품입니다.","최애제품임팩트웨이프로틴 항상 구매하고 있습니다.
    제품 풀림도 좋고 민트쵸코 맛은 아주 일품입니다."
6,good,my protein is very good.,goodmy protein is very good.
7,쿠키앤크림 / 훗카이도밀크,"그냥 물에 풀어도 잘 풀립니다.
    당도가 높은 편이고 질리지 않게 잘 먹을 수 있어요!","쿠키앤크림 / 훗카이도밀크그냥 물에 풀어도 잘 풀립니다.
    당도가 높은 편이고 질리지 않게 잘 먹을 수 있어요!"
8,좋아요,처음 주문해서 마시고있습니다. 첫주문이지만  배송료 때문에 5kg 주문했습니다. 생각보다  많이 달아서 좀 그렇지만 마시기 괜찬습니다. 담에는 초코로 마셔봐야겠습니다.,좋아요처음 주문해서 마시고있습니다. 첫주문이지만  배송료 때문에 5kg 주문했습니다. 생각보다  많이 달아서 좀 그렇지만 마시기 괜찬습니다. 담에는 초코로 마셔봐야겠습니다.
9,좋아요.,"잘 먹고 있습니다.
    초코맛 이후로 딸기맛도 구매했어요","좋아요.잘 먹고 있습니다.
    초코맛 이후로 딸기맛도 구매했어요"
