restaurant,id,person
버거뱅,37282209,박세훈
버거보이 성수낙낙점,1263574785,박세훈
버거비 신갈점,1120638609,박세훈
버거비치,1762131495,박세훈
버거샵,30942181,박세훈
버거스올마이티 신세계백화점 본점,1423852599,박세훈
버거스올마이티 강남역점,1966454804,박세훈
버거스캔들 서초역점,1287859520,박세훈
버거스테이,1182796220,박세훈
버거스테이지,1012920351,박세훈
버거싶다,1254857788,박세훈
버거쑈,37061146,박세훈
버거애,37386503,박세훈
버거에 빠지다,1437539581,박세훈
버거운녀석들,37889546,박세훈
버거인,36314854,박세훈
버거인뉴욕,33880194,박세훈
버거주의,1164659244,박세훈
버거타운 잠실점,1185281833,박세훈
버거타임,1269964032,박세훈
버거투버거,20899942,박세훈
버거트리동탄본점,20455763,박세훈
버거파크,13158227,박세훈
버거플리즈,1378158616,박세훈
버거호,1768719819,박세훈
벅벅 이태원점,1787616719,박세훈
버바나,1346654319,박세훈
버터버거,1480379498,박세훈
벅벅 종로혜화점,1652144509,박세훈
베이사이드버거,1949013511,박세훈
보다성수,1026594418,박세훈
보스버거,1214382781,박세훈
부쳐샵 선유도점,1691731557,박세훈
부쳐스버거 광안점,36225333,박세훈
브로버거 방이점,1987522636,박세훈
브로스키친,307070620,박세훈
브루클린더버거조인트 삼성점,37020568,박세훈
블랙마스터버거 롯데몰수지점,1956067462,박세훈
블리스버거,1553193366,박세훈
비스티버거,1394391583,박세훈
빅터스버거,1193281968,박세훈
사우스스트릿,37468093,박세훈
샘버거,1960880383,박세훈
선데이 버거 클럽,1706029841,박세훈
처비버디,1085255356,박세훈
처비핑거스,1899758262,박세훈
청시행 을지로점,1191092879,박세훈
취한부엌,824276644,박세훈
침스버거 신용산,1140871649,박세훈
카파노,1181608808,박세훈
카페반월,1735853116,박세훈
캘리포니아키친앤크래프트펍,585363580,박세훈
코지버거,1496549723,박세훈
코코살사 버거앤타코 본점,1133174449,박세훈
코키펍 홍대직영점,37405269,박세훈
크라이치즈버거 삼성역점,587929920,박세훈
크라이치즈버거 심곡점,34105398,박세훈
크라이치즈버거 양재역점,1320179295,박세훈
클래식햄버거,1231756388,박세훈
킹햄버거,1325453106,박세훈
타운 앤 컨트리 햄버거스,1246316622,박세훈
테이스티버거,1935683021,박세훈
텍사스바베큐,1886595549,박세훈
투핸즈업버거 조치원점,1375457301,박세훈
투웨이버거 The Grill,1290520334,박세훈
티제이버거,1873771372,박세훈
파머스키친 양양2호점,1385364828,박세훈
파일버거 양재,1556769326,박세훈
파조쿠치나,36166759,박세훈
파파이스 성남신흥점,1556545642,박세훈
패티바이번 광화문점,1531649017,박세훈
패티버그,1050188856,박세훈
패티앤베지스 신사,1348101379,박세훈
퍼퓰러버거,1655139869,박세훈
퍽앤어니언,1578720380,박세훈
페이보릿 버거,1756698579,박세훈
링키지 버거,1723371114,박세훈
포온스 수제버거,1574671429,박세훈
폰버거,1228980982,박세훈
풍류랑 도곡점,1809480572,박세훈
프로도버거,1116454542,박세훈
플러스82버거,1103016839,박세훈
피플,1932715079,박세훈
피피에스,1539125467,박세훈
필필필,1861726821,박세훈
하우스버거,1241106713,박세훈
이스트1404,1956844211,박세훈
스테이플버거 주안점,1645771342,박세훈
행루즈수제버거 수원점,1794613537,박세훈
헤이로라 망원동 본점,1847172387,박세훈
헤이패티,82678747,박세훈
