brand,name,price,explain,patty,wordlist
롯데리아,왕돈까스버거,7500,"압도적인 크기의 K-style 왕돈까스버거 돈까스, 저민 양상추, 저민 피클, 마요네즈 소스, 케첩 소스, 데리야끼 소스",소고기 패티,압도 크기 돈까스 양상추 피클 마요네즈 소스 케첩 데리야끼
롯데리아,매운 왕돈까스버거,7500,"압도적인 크기의 매콤한 왕돈까스버거 돈까스, 저민 양상추, 저민 피클, 마요네즈 소스, 케첩 소스, 데리야끼 소스",소고기 패티,압도 크기 매콤 왕돈 끄다 돈까스 양상추 피클 마요네즈 소스 케첩 데리야끼
롯데리아,전주 비빔라이스 버거,6900,"전주비빔밥을 담은 라이스번과 노른자가 터지는 반숙란,달콤한 고추장 소스가 어우러진 새로운 라이스 버거 라이스번, 반숙란, 양파, 양상추, 고추장소스, 소고기패티",소고기 패티,비빔밥 담다 라이스 노른자 터지다 숙란 달콤하다 고추장 소스 어우러지다 새롭다 양파 양상추 소고기 패티
롯데리아,새우베이컨버거,5800,"베이컨+토마토로 더욱 풍성해진 맛과 볼륨감의 새우버거 업그레이드 한정판 타르타르소스, 새우패티, 양상추, 사우전드 아일랜드 드레싱, 베이컨, 토마토",새우 패티,베이컨 토마토 더욱 성하다 볼륨 새우 업그레이드 한정판 타르 소스 패티 양상추 우전 아일랜드 드레싱
롯데리아,불고기 베이컨,5800,"베이컨+토마토로 더욱 풍성해진 맛과 볼륨감의 불고기버거 업그레이드 한정판 마요네즈, 양파, 불고기패티, 불고기소스, 상추, 베이컨, 토마토",소고기 패티,베이컨 토마토 더욱 성하다 볼륨 불고기 업그레이드 한정판 마요네즈 양파 패티 소스 상추
롯데리아,더블 한우불고기,12400,"국내산 한우를 사용한 패티 2장 구성으로 육즙 가득! 묵직한 육풍미를 특징으로 한 프리미엄 버거 포테이토 번, 양파, 한우불고기 패티, 스모크 불고기 소스, 양상추, 피클, 토마토",소고기 패티,국내 한우 사용 패티 구성 육즙 가득 묵직하다 육풍 밉다 특징 프리미엄 포테이토 양파 불고기 스모크 소스 양상추 피클 토마토
롯데리아,한우불고기,8400,"브리오쉬번에 국내산 한우를 사용한 패티, 신선한 야채, 특제소스로 완성한 프리미엄 햄버거 포테이토 번, 양파, 한우불고기 패티, 스모크 불고기 소스, 양상추, 피클, 토마토",소고기 패티,브리 오쉬 국내 한우 사용 패티 신선하다 야채 특제 소스 완성 프리미엄 햄버거 포테이토 양파 불고기 스모크 양상추 피클 토마토
롯데리아,더블 클래식치즈버거(버터번),6900,"두 장의 패티가 이루는 조화로운 맛에 든든함까지 추가된 더블 클래식치즈버거 버터 번, 머스타드, 마요네즈, 저민 양파, 저민 피클, 치즈, 소고기패티",소고기 패티,장의 패티 이루다 조화롭다 든든하다 추가 더블 클래식 치즈버거 버터 머스타드 마요네즈 양파 피클 치즈 소고기
롯데리아,더블 치킨버거,5500,"두 장의 패티가 이루는 조화로운 맛에 든든함까지 추가된 더블버거 시리즈 닭다리살패티, 데리야끼소스, 양상추, 마요네즈, 머스타드",소고기 패티,장의 패티 이루다 조화롭다 든든하다 추가 더블 시리즈 닭다리 데리야끼 소스 양상추 마요네즈 머스타드
롯데리아,더블 데리버거,4500,"두 장의 패티가 이루는 조화로운 맛에 든든함까지 추가된 더블버거 시리즈 소고기패티, 데리야끼소스, 양상추, 저민 양파, 마요네즈",소고기 패티,장의 패티 이루다 조화롭다 든든하다 추가 더블 시리즈 소고기 데리야끼 소스 양상추 양파 마요네즈
